Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_018570285.1	ASM1857028v1	ssRNA phage Esthiorhiza.2_27	3905	3	3	
GCF_018574935.1	ASM1857493v1	ssRNA phage SRR7976310_10	3904	5	5	
GCF_018566435.1	ASM1856643v1	ssRNA phage SRR6253161_1	3903	5	5	
GCF_018572465.1	ASM1857246v1	ssRNA phage Gerhypos.3_24	3903	3	3	
GCF_018570545.1	ASM1857054v1	ssRNA phage Gephyllon.2_11	3902	4	4	
GCF_018566565.1	ASM1856656v1	ssRNA phage SRR6960509_8	3901	4	4	
GCF_018571385.1	ASM1857138v1	ssRNA phage Gephyllon.3_3	3901	3	3	
GCF_018571505.1	ASM1857150v1	ssRNA phage Gephyllon.2_12	3901	4	4	
GCF_018573305.1	ASM1857330v1	ssRNA phage SRR5467090_4	3901	3	3	
GCF_018577175.1	ASM1857717v1	ssRNA phage SRR7976325_16	3901	4	4	
GCF_018572125.1	ASM1857212v1	ssRNA phage Gerhypos.4_31	3900	4	4	
GCF_018570125.1	ASM1857012v1	ssRNA phage Gephyllon.2_2	3899	3	3	
GCF_018571345.1	ASM1857134v1	ssRNA phage Gerhypos.1_21	3898	3	3	
GCF_018571795.1	ASM1857179v1	ssRNA phage Gephyllon.1_18	3897	3	3	
GCF_018570445.1	ASM1857044v1	ssRNA phage Esthiorhiza.3_7	3896	3	3	
GCF_018570345.1	ASM1857034v1	ssRNA phage Gerhypos.1_11	3894	3	3	
GCF_018557885.1	ASM1855788v1	ssRNA phage Gephyllon.1_19	3893	3	3	
GCF_018573135.1	ASM1857313v1	ssRNA phage SRR5466725_9	3892	3	3	
GCF_018573145.1	ASM1857314v1	ssRNA phage SRR5466725_10	3892	3	3	
GCF_018554095.1	ASM1855409v1	ssRNA phage Esthiorhiza.3_1	3891	5	5	
GCF_018574945.1	ASM1857494v1	ssRNA phage SRR7976310_14	3888	3	3	
GCF_018577185.1	ASM1857718v1	ssRNA phage SRR7976325_7	3888	3	3	
GCF_018554085.1	ASM1855408v1	ssRNA phage Esthiorhiza.3_3	3887	3	3	
GCF_018566455.1	ASM1856645v1	ssRNA phage SRR6255733_6	3886	3	3	
GCF_018583565.1	ASM1858356v1	Jasmine mosaic-associated virus 2	3885	5	5	
GCF_018554415.1	ASM1855441v1	ssRNA phage Gephyllon.3_7	3884	3	3	
GCF_018571125.1	ASM1857112v1	ssRNA phage Esthiorhiza.2_28	3883	4	4	
GCF_018548475.1	ASM1854847v1	ssRNA phage Gephyllon.3_8	3882	3	3	
GCF_018551245.1	ASM1855124v1	ssRNA phage Gephyllon.2_13	3878	3	3	
GCF_018559965.1	ASM1855996v1	ssRNA phage Gerhypos.4_25	3877	3	3	
GCF_018562955.1	ASM1856295v1	ssRNA phage SRR6960799_26	3876	4	4	
GCF_018557875.1	ASM1855787v1	ssRNA phage Gerhypos.3_25	3875	4	4	
GCF_018554705.1	ASM1855470v1	ssRNA phage Gerhypos.1_22	3873	4	4	
GCF_018573365.1	ASM1857336v1	ssRNA phage SRR5467091_15	3873	3	3	
GCF_018551035.1	ASM1855103v1	ssRNA phage Gerhypos.1_44	3872	3	3	
GCF_018574955.1	ASM1857495v1	ssRNA phage SRR7976310_2	3871	4	4	
GCF_018585405.1	ASM1858540v1	Tasmanian devil-associated chapparvovirus 1	3871	2	2	
GCF_018560235.1	ASM1856023v1	ssRNA phage SRR6960507_6	3870	4	4	
GCF_018573375.1	ASM1857337v1	ssRNA phage SRR5467091_2	3870	3	3	
GCF_018573515.1	ASM1857351v1	ssRNA phage SRR6255513_1	3870	3	3	
GCF_018573015.1	ASM1857301v1	ssRNA phage SRR5466365_3	3869	3	3	
GCF_018557955.1	ASM1855795v1	ssRNA phage Gephyllon.4_5	3867	3	3	
GCF_018571895.1	ASM1857189v1	ssRNA phage Zoerhiza.2_8	3867	4	4	
GCF_018569915.1	ASM1856991v1	ssRNA phage Gerhypos.3_1	3865	5	5	
GCF_018570025.1	ASM1857002v1	ssRNA phage Gerhypos.3_10	3865	3	3	
GCF_018570385.1	ASM1857038v1	ssRNA phage Gephyllon.4_12	3865	5	5	
GCF_018570785.1	ASM1857078v1	ssRNA phage Gephyllon.3_9	3863	3	3	
GCF_018574995.1	ASM1857499v1	ssRNA phage SRR7976323_6	3863	3	3	
GCF_018573245.1	ASM1857324v1	ssRNA phage SRR5466728_1	3862	3	3	
GCF_018569585.1	ASM1856958v1	ssRNA phage SRR7976325_11	3861	3	3	
GCF_018572445.1	ASM1857244v1	ssRNA phage Zoerhiza.4_10	3861	4	4	
GCF_018569965.1	ASM1856996v1	ssRNA phage Gerhypos.4_33	3860	4	4	
GCF_018566355.1	ASM1856635v1	ssRNA phage SRR5467091_1	3858	4	4	
GCF_018571575.1	ASM1857157v1	ssRNA phage Esthiorhiza.2_29	3857	3	3	
GCF_018571665.1	ASM1857166v1	ssRNA phage Esthiorhiza.4_6	3857	3	3	
GCF_018570685.1	ASM1857068v1	ssRNA phage Esthiorhiza.2_51	3856	5	5	
GCF_018573475.1	ASM1857347v1	ssRNA phage SRR6253161_3	3855	3	3	
GCF_018570365.1	ASM1857036v1	ssRNA phage Zoerhiza.1_29	3854	4	4	
GCF_018574395.1	ASM1857439v1	ssRNA phage SRR6960551_3	3851	3	3	
GCF_018557275.1	ASM1855727v1	ssRNA phage Gerhypos.4_34	3850	3	3	
GCF_018577535.1	ASM1857753v1	ssRNA phage SRR7976357_11	3849	3	3	
GCF_018572415.1	ASM1857241v1	ssRNA phage Zoerhiza.4_16	3848	3	3	
GCF_018566365.1	ASM1856636v1	ssRNA phage SRR5467091_6	3847	3	3	
GCF_018548125.1	ASM1854812v1	ssRNA phage AIN002	3846	3	3	
GCF_018560095.1	ASM1856009v1	ssRNA phage Gerhypos.4_16	3846	3	3	
GCF_018572855.1	ASM1857285v1	ssRNA phage SRR6960803_14	3846	3	3	
GCF_018573385.1	ASM1857338v1	ssRNA phage SRR5467091_11	3846	3	3	
GCF_018574895.1	ASM1857489v1	ssRNA phage SRR7976301_12	3846	3	3	
GCF_018554475.1	ASM1855447v1	ssRNA phage Esthiorhiza.4_7	3845	4	4	
GCF_018573215.1	ASM1857321v1	ssRNA phage SRR5466727_10	3845	3	3	
GCF_018570245.1	ASM1857024v1	ssRNA phage Gerhypos.2_25	3844	3	3	
GCF_018548265.1	ASM1854826v1	ssRNA phage EMS014	3843	4	4	
GCF_018573225.1	ASM1857322v1	ssRNA phage SRR5466727_8	3843	4	4	
GCF_018554665.1	ASM1855466v1	ssRNA phage Gerhypos.2_24	3841	3	3	
GCF_018550795.1	ASM1855079v1	ssRNA phage Gerhypos.4_58	3840	4	4	
GCF_018559905.1	ASM1855990v1	ssRNA phage Gerhypos.1_23	3840	3	3	
GCF_018571595.1	ASM1857159v1	ssRNA phage Gerhypos.1_24	3838	3	3	
GCF_018557315.1	ASM1855731v1	ssRNA phage Zoerhiza.4_23	3836	3	3	
GCF_018560045.1	ASM1856004v1	ssRNA phage Esthiorhiza.4_15	3836	4	4	
GCF_018571065.1	ASM1857106v1	ssRNA phage Gerhypos.2_8	3836	6	6	
GCF_018557655.1	ASM1855765v1	ssRNA phage Gerhypos.3_11	3833	3	3	
GCF_018571585.1	ASM1857158v1	ssRNA phage Zoerhiza.4_22	3833	4	4	
GCF_018572995.1	ASM1857299v1	ssRNA phage SRR5466364_5	3832	3	3	
GCF_018557495.1	ASM1855749v1	ssRNA phage Gephyllon.2_5	3831	4	4	
GCF_018572435.1	ASM1857243v1	ssRNA phage Zoerhiza.1_30	3831	3	3	
GCF_018577465.1	ASM1857746v1	ssRNA phage SRR7976327_2	3831	3	3	
GCF_018572555.1	ASM1857255v1	ssRNA phage Gerhypos.1_45	3830	3	3	
GCF_018573535.1	ASM1857353v1	ssRNA phage SRR6255733_5	3830	3	3	
GCF_018574145.1	ASM1857414v1	ssRNA phage SRR6960509_17	3827	3	3	
GCF_018574965.1	ASM1857496v1	ssRNA phage SRR7976310_11	3827	3	3	
GCF_018550895.1	ASM1855089v1	ssRNA phage Gephyllon.4_21	3826	3	3	
GCF_018566035.1	ASM1856603v1	ssRNA phage SRR5466729_3	3826	3	3	
GCF_018574645.1	ASM1857464v1	ssRNA phage SRR7976299_19	3826	3	3	
GCF_018565985.1	ASM1856598v1	ssRNA phage SRR5466727_6	3824	3	3	
GCF_023124285.1	ASM2312428v1	Rhizoctonia solani mitovirus 31	3820	1	1	
GCF_018548425.1	ASM1854842v1	ssRNA phage ESO002	3819	3	3	
GCF_018554555.1	ASM1855455v1	ssRNA phage Gerhypos.4_35	3819	3	3	
GCF_018562985.1	ASM1856298v1	ssRNA phage SRR6960799_14	3819	3	3	
GCF_018560085.1	ASM1856008v1	ssRNA phage Gerhypos.4_36	3818	4	4	
GCF_018572115.1	ASM1857211v1	ssRNA phage Zoerhiza.4_11	3818	3	3	
GCF_018554575.1	ASM1855457v1	ssRNA phage Gephyllon.2_3	3815	3	3	
GCF_018574465.1	ASM1857446v1	ssRNA phage SRR6960802_2	3813	4	4	
GCF_018557715.1	ASM1855771v1	ssRNA phage Gerhypos.1_38	3811	3	3	
GCF_018571115.1	ASM1857111v1	ssRNA phage Esthiorhiza.4_16	3811	4	4	
GCF_018563385.1	ASM1856338v1	ssRNA phage SRR7473382_3	3810	4	4	
GCF_018570055.1	ASM1857005v1	ssRNA phage Gerhypos.2_26	3810	4	4	
GCF_018569455.1	ASM1856945v1	ssRNA phage SRR7976310_13	3809	3	3	
GCF_018570355.1	ASM1857035v1	ssRNA phage Gerhypos.3_2	3809	3	3	
GCF_018577215.1	ASM1857721v1	ssRNA phage SRR7976325_26	3809	4	4	
GCF_018569735.1	ASM1856973v1	ssRNA phage SRR7976356_5	3808	3	3	
GCF_018570235.1	ASM1857023v1	ssRNA phage Gerhypos.1_46	3808	4	4	
GCF_018573235.1	ASM1857323v1	ssRNA phage SRR5466727_5	3808	3	3	
GCF_029886905.1	ASM2988690v1	Avonheates virus SG_19	3807	5	5	
GCF_018572985.1	ASM1857298v1	ssRNA phage SRR5466338_5	3806	3	3	
GCF_018548315.1	ASM1854831v1	ssRNA phage ESE015	3805	3	3	
GCF_018560135.1	ASM1856013v1	ssRNA phage Zoerhiza.3_5	3805	3	3	
GCF_018571845.1	ASM1857184v1	ssRNA phage Gerhypos.1_25	3804	3	3	
GCF_018573035.1	ASM1857303v1	ssRNA phage SRR5466366_1	3804	4	4	
GCF_018557795.1	ASM1855779v1	ssRNA phage Zoerhiza.4_24	3803	4	4	
GCF_018571145.1	ASM1857114v1	ssRNA phage Esthiorhiza.2_30	3803	4	4	
GCF_018550555.1	ASM1855055v1	ssRNA phage Esthiorhiza.1_13	3802	3	3	
GCF_018572395.1	ASM1857239v1	ssRNA phage Gerhypos.4_38	3802	3	3	
GCF_018573315.1	ASM1857331v1	ssRNA phage SRR5467090_12	3802	3	3	
GCF_018554495.1	ASM1855449v1	ssRNA phage Gerhypos.2_27	3801	3	3	
GCF_018569595.1	ASM1856959v1	ssRNA phage SRR7976325_10	3801	3	3	
GCF_018569605.1	ASM1856960v1	ssRNA phage SRR7976325_8	3801	3	3	
GCF_018560105.1	ASM1856010v1	ssRNA phage Gerhypos.4_59	3800	4	4	
GCF_018572525.1	ASM1857252v1	ssRNA phage Zoerhiza.2_9	3800	3	3	
GCF_018551475.1	ASM1855147v1	ssRNA phage Gerhypos.1_43	3799	5	5	
GCF_018570945.1	ASM1857094v1	ssRNA phage Gerhypos.2_9	3799	3	3	
GCF_018560245.1	ASM1856024v1	ssRNA phage SRR6960507_11	3798	3	3	
GCF_018570875.1	ASM1857087v1	ssRNA phage Gerhypos.4_39	3798	3	3	
GCF_018569465.1	ASM1856946v1	ssRNA phage SRR7976310_7	3796	3	3	
GCF_018566045.1	ASM1856604v1	ssRNA phage SRR5466729_1	3791	5	5	
GCF_018569745.1	ASM1856974v1	ssRNA phage SRR7976356_4	3791	3	3	
GCF_018569325.1	ASM1856932v1	ssRNA phage SRR7976300_4	3790	3	3	
GCF_018557405.1	ASM1855740v1	ssRNA phage Gephyllon.1_26	3788	3	3	
GCF_018572065.1	ASM1857206v1	ssRNA phage Zoerhiza.1_14	3788	3	3	
GCF_018557815.1	ASM1855781v1	ssRNA phage Gerhypos.2_7	3787	4	4	
GCF_018562995.1	ASM1856299v1	ssRNA phage SRR6960799_38	3787	3	3	
GCF_018573325.1	ASM1857332v1	ssRNA phage SRR5467090_8	3787	3	3	
GCF_029884975.1	ASM2988497v1	Ursus americanus parvovirus	3787	4	4	
GCF_018570955.1	ASM1857095v1	ssRNA phage Gerhypos.4_40	3786	3	3	
GCF_018554065.1	ASM1855406v1	ssRNA phage Gephyllon.1_20	3784	3	3	
GCF_018557945.1	ASM1855794v1	ssRNA phage Gerhypos.4_65	3784	3	3	
GCF_018560155.1	ASM1856015v1	ssRNA phage Gerhypos.2_10	3784	3	3	
GCF_018566395.1	ASM1856639v1	ssRNA phage SRR5467139_2	3784	3	3	
GCF_018571005.1	ASM1857100v1	ssRNA phage Zoerhiza.1_31	3784	3	3	
GCF_018571285.1	ASM1857128v1	ssRNA phage Zoerhiza.1_15	3783	3	3	
GCF_018569615.1	ASM1856961v1	ssRNA phage SRR7976325_23	3782	3	3	
GCF_018573445.1	ASM1857344v1	ssRNA phage SRR6050698_1	3782	3	3	
GCF_018566025.1	ASM1856602v1	ssRNA phage SRR5466728_4	3780	3	3	
GCF_018572045.1	ASM1857204v1	ssRNA phage Zoerhiza.2_28	3779	4	4	
GCF_018572565.1	ASM1857256v1	ssRNA phage Zoerhiza.1_32	3779	3	3	
GCF_018566465.1	ASM1856646v1	ssRNA phage SRR6255733_2	3775	4	4	
GCF_018570645.1	ASM1857064v1	ssRNA phage Esthiorhiza.2_47	3775	3	3	
GCF_018572215.1	ASM1857221v1	ssRNA phage Gerhypos.4_7	3772	4	4	
GCF_018571975.1	ASM1857197v1	ssRNA phage Esthiorhiza.3_8	3771	4	4	
GCF_018570755.1	ASM1857075v1	ssRNA phage Zoerhiza.4_12	3770	3	3	
GCF_018548445.1	ASM1854844v1	ssRNA phage Esthiorhiza.1_11	3768	4	4	
GCF_018554545.1	ASM1855454v1	ssRNA phage Gerhypos.2_11	3768	3	3	
GCF_018570675.1	ASM1857067v1	ssRNA phage Gerhypos.4_60	3767	3	3	
GCF_018571335.1	ASM1857133v1	ssRNA phage Gephyllon.3_10	3767	3	3	
GCF_023124245.1	ASM2312424v1	Rhizoctonia solani mitovirus 25	3767	1	1	
GCF_018574655.1	ASM1857465v1	ssRNA phage SRR7976299_16	3766	3	3	
GCF_018577225.1	ASM1857722v1	ssRNA phage SRR7976325_29	3766	3	3	
GCF_018569755.1	ASM1856975v1	ssRNA phage SRR7976356_2	3765	3	3	
GCF_018573155.1	ASM1857315v1	ssRNA phage SRR5466725_19	3765	4	4	
GCF_018560255.1	ASM1856025v1	ssRNA phage SRR6960507_10	3764	3	3	
GCF_018577275.1	ASM1857727v1	ssRNA phage SRR7976325_14	3764	4	4	
GCF_018557335.1	ASM1855733v1	ssRNA phage Gephyllon.3_4	3763	4	4	
GCF_018577305.1	ASM1857730v1	ssRNA phage SRR7976325_9	3763	3	3	
GCF_018589675.1	ASM1858967v1	Paper mulberry leaf curling associated virus 2	3763	6	6	
GCF_018569775.1	ASM1856977v1	ssRNA phage SRR7976357_10	3762	3	3	
GCF_018574405.1	ASM1857440v1	ssRNA phage SRR6960551_1	3761	4	4	
GCF_018548455.1	ASM1854845v1	ssRNA phage Zoerhiza.3_6	3760	3	3	
GCF_018560265.1	ASM1856026v1	ssRNA phage SRR6960507_7	3760	3	3	
GCF_018570405.1	ASM1857040v1	ssRNA phage Gephyllon.1_21	3760	3	3	
GCF_018570165.1	ASM1857016v1	ssRNA phage Zoerhiza.1_16	3758	3	3	
GCF_018570585.1	ASM1857058v1	ssRNA phage Zoerhiza.4_25	3758	3	3	
GCF_018569255.1	ASM1856925v1	ssRNA phage SRR7976299_1	3757	3	3	
GCF_018572625.1	ASM1857262v1	ssRNA phage SRR6960507_12	3757	3	3	
GCF_018569905.1	ASM1856990v1	ssRNA phage Gephyllon.1_27	3756	3	3	
GCF_018577335.1	ASM1857733v1	ssRNA phage SRR7976325_1	3756	3	3	
GCF_018577545.1	ASM1857754v1	ssRNA phage SRR7976357_2	3753	3	3	
GCF_018571225.1	ASM1857122v1	ssRNA phage Gerhypos.4_37	3752	3	3	
GCF_018563005.1	ASM1856300v1	ssRNA phage SRR6960799_40	3750	3	3	
GCF_018574665.1	ASM1857466v1	ssRNA phage SRR7976299_6	3750	4	4	
GCF_018563315.1	ASM1856331v1	ssRNA phage SRR6960803_4	3749	3	3	
GCF_018550655.1	ASM1855065v1	ssRNA phage Zoerhiza.1_17	3748	3	3	
GCF_018571185.1	ASM1857118v1	ssRNA phage Esthiorhiza.1_12	3748	3	3	
GCF_018548235.1	ASM1854823v1	ssRNA phage AVE018	3746	3	3	
GCF_018557935.1	ASM1855793v1	ssRNA phage Zoerhiza.3_3	3742	3	3	
GCF_018571935.1	ASM1857193v1	ssRNA phage Gerhypos.4_42	3741	3	3	
GCF_018569475.1	ASM1856947v1	ssRNA phage SRR7976310_15	3740	3	3	
GCF_018550745.1	ASM1855074v1	ssRNA phage Esthiorhiza.2_31	3739	3	3	
GCF_018572765.1	ASM1857276v1	ssRNA phage SRR6960799_22	3739	4	4	
GCF_018550735.1	ASM1855073v1	ssRNA phage Gerhypos.2_28	3738	3	3	
GCF_018548245.1	ASM1854824v1	ssRNA phage AVE019	3737	3	3	
GCF_018569785.1	ASM1856978v1	ssRNA phage SRR7976357_1	3736	3	3	
GCF_018563325.1	ASM1856332v1	ssRNA phage SRR6960803_12	3734	4	4	
GCF_018566575.1	ASM1856657v1	ssRNA phage SRR6960509_10	3734	3	3	
GCF_018571305.1	ASM1857130v1	ssRNA phage Esthiorhiza.2_52	3732	4	4	
GCF_018563205.1	ASM1856320v1	ssRNA phage SRR6960801_1	3731	3	3	
GCF_018574495.1	ASM1857449v1	ssRNA phage SRR6960802_5	3729	3	3	
GCF_023138065.1	ASM2313806v1	Plasmopara viticola lesion associated ourmia-like virus 29	3729	1	1	
GCF_018548365.1	ASM1854836v1	ssRNA phage ESE020	3727	4	4	
GCF_018577575.1	ASM1857757v1	ssRNA phage SRR7976357_5	3727	3	3	
GCF_018573045.1	ASM1857304v1	ssRNA phage SRR5466369_3	3725	3	3	
GCF_018574275.1	ASM1857427v1	ssRNA phage SRR6960549_1	3724	3	3	
GCF_018570835.1	ASM1857083v1	ssRNA phage Gerhypos.4_44	3722	3	3	
GCF_018571925.1	ASM1857192v1	ssRNA phage Gerhypos.4_43	3722	3	3	
GCF_018560175.1	ASM1856017v1	ssRNA phage Zoerhiza.1_18	3720	3	3	
GCF_018570595.1	ASM1857059v1	ssRNA phage Gerhypos.3_12	3720	3	3	
GCF_018569265.1	ASM1856926v1	ssRNA phage SRR7976299_18	3719	4	4	
GCF_018569525.1	ASM1856952v1	ssRNA phage SRR7976323_1	3718	3	3	
GCF_018571135.1	ASM1857113v1	ssRNA phage Zoerhiza.2_10	3718	4	4	
GCF_018557725.1	ASM1855772v1	ssRNA phage Gerhypos.4_45	3717	4	4	
GCF_018563015.1	ASM1856301v1	ssRNA phage SRR6960799_21	3716	4	4	
GCF_018574195.1	ASM1857419v1	ssRNA phage SRR6960509_11	3716	3	3	
GCF_018551495.1	ASM1855149v1	ssRNA phage Zoerhiza.1_19	3714	3	3	
GCF_018568855.1	ASM1856885v1	ssRNA phage SRR6960549_7	3714	3	3	
GCF_018566475.1	ASM1856647v1	ssRNA phage SRR6255733_3	3713	3	3	
GCF_018571465.1	ASM1857146v1	ssRNA phage Esthiorhiza.4_17	3713	3	3	
GCF_018566585.1	ASM1856658v1	ssRNA phage SRR6960509_1	3710	3	3	
GCF_018569485.1	ASM1856948v1	ssRNA phage SRR7976310_16	3710	3	3	
GCF_018572315.1	ASM1857231v1	ssRNA phage Gephyllon.2_6	3710	3	3	
GCF_018574285.1	ASM1857428v1	ssRNA phage SRR6960549_9	3709	3	3	
GCF_018569975.1	ASM1856997v1	ssRNA phage Gephyllon.4_22	3708	3	3	
GCF_018570995.1	ASM1857099v1	ssRNA phage Gephyllon.1_9	3708	4	4	
GCF_018573395.1	ASM1857339v1	ssRNA phage SRR5467091_5	3708	3	3	
GCF_018566515.1	ASM1856651v1	ssRNA phage SRR6255746_4	3701	4	4	
GCF_018571365.1	ASM1857136v1	ssRNA phage Gerhypos.3_26	3700	3	3	
GCF_018550765.1	ASM1855076v1	ssRNA phage Gerhypos.3_13	3698	3	3	
GCF_018563025.1	ASM1856302v1	ssRNA phage SRR6960799_27	3698	3	3	
GCF_018554285.1	ASM1855428v1	ssRNA phage Gerhypos.4_46	3697	3	3	
GCF_018573165.1	ASM1857316v1	ssRNA phage SRR5466725_20	3697	3	3	
GCF_018569495.1	ASM1856949v1	ssRNA phage SRR7976310_6	3696	3	3	
GCF_018572505.1	ASM1857250v1	ssRNA phage Gerhypos.2_12	3696	4	4	
GCF_018551385.1	ASM1855138v1	ssRNA phage Gerhypos.1_18	3695	3	3	
GCF_018560275.1	ASM1856027v1	ssRNA phage SRR6960507_9	3695	3	3	
GCF_018569625.1	ASM1856962v1	ssRNA phage SRR7976325_25	3694	3	3	
GCF_018569705.1	ASM1856970v1	ssRNA phage SRR7976326_5	3694	3	3	
GCF_018570605.1	ASM1857060v1	ssRNA phage Gerhypos.1_48	3694	3	3	
GCF_018570295.1	ASM1857029v1	ssRNA phage Esthiorhiza.3_9	3693	3	3	
GCF_018548325.1	ASM1854832v1	ssRNA phage ESE016	3692	3	3	
GCF_018568895.1	ASM1856889v1	ssRNA phage SRR6960549_6	3692	3	3	
GCF_018568915.1	ASM1856891v1	ssRNA phage SRR6960551_12	3691	3	3	
GCF_018554435.1	ASM1855443v1	ssRNA phage Gerhypos.4_32	3686	4	4	
GCF_018570695.1	ASM1857069v1	ssRNA phage Esthiorhiza.3_4	3685	3	3	
GCF_018566175.1	ASM1856617v1	ssRNA phage SRR5467090_6	3681	4	4	
GCF_018577345.1	ASM1857734v1	ssRNA phage SRR7976325_21	3681	3	3	
GCF_018569795.1	ASM1856979v1	ssRNA phage SRR7976357_4	3680	5	5	
GCF_018571525.1	ASM1857152v1	ssRNA phage Zoerhiza.2_11	3680	3	3	
GCF_018550605.1	ASM1855060v1	ssRNA phage Zoerhiza.2_27	3679	3	3	
GCF_018569725.1	ASM1856972v1	ssRNA phage SRR7976327_1	3679	3	3	
GCF_018572865.1	ASM1857286v1	ssRNA phage SRR6960803_1	3679	3	3	
GCF_018565995.1	ASM1856599v1	ssRNA phage SRR5466727_1	3678	3	3	
GCF_018570455.1	ASM1857045v1	ssRNA phage Esthiorhiza.4_8	3678	3	3	
GCF_018573255.1	ASM1857325v1	ssRNA phage SRR5466728_3	3678	3	3	
GCF_018571545.1	ASM1857154v1	ssRNA phage Gephyllon.1_23	3677	3	3	
GCF_018548105.1	ASM1854810v1	ssRNA phage AIN000	3675	3	3	
GCF_018551425.1	ASM1855142v1	ssRNA phage Zoerhiza.1_37	3673	3	3	
GCF_018559945.1	ASM1855994v1	ssRNA phage Esthiorhiza.4_18	3672	3	3	
GCF_018571205.1	ASM1857120v1	ssRNA phage Esthiorhiza.2_48	3671	3	3	
GCF_018569275.1	ASM1856927v1	ssRNA phage SRR7976299_3	3670	3	3	
GCF_018572895.1	ASM1857289v1	ssRNA phage SRR7473382_1	3670	3	3	
GCF_018566595.1	ASM1856659v1	ssRNA phage SRR6960509_4	3669	3	3	
GCF_018557685.1	ASM1855768v1	ssRNA phage Gerhypos.4_47	3668	3	3	
GCF_018569115.1	ASM1856911v1	ssRNA phage SRR6960797_2	3667	3	3	
GCF_018571865.1	ASM1857186v1	ssRNA phage Gephyllon.4_13	3666	4	4	
GCF_018563035.1	ASM1856303v1	ssRNA phage SRR6960799_39	3664	3	3	
GCF_018563045.1	ASM1856304v1	ssRNA phage SRR6960799_37	3663	3	3	
GCF_018569635.1	ASM1856963v1	ssRNA phage SRR7976325_13	3662	3	3	
GCF_018571685.1	ASM1857168v1	ssRNA phage Gephyllon.4_14	3662	3	3	
GCF_013087285.1	ASM1308728v1	chicken chapparvovirus HK	3661	1	1	
GCF_018569805.1	ASM1856980v1	ssRNA phage SRR7976357_8	3661	3	3	
GCF_018571315.1	ASM1857131v1	ssRNA phage Gerhypos.1_27	3661	3	3	
GCF_018574905.1	ASM1857490v1	ssRNA phage SRR7976301_3	3660	3	3	
GCF_018560015.1	ASM1856001v1	ssRNA phage Zoerhiza.1_20	3659	3	3	
GCF_018570085.1	ASM1857008v1	ssRNA phage Esthiorhiza.2_32	3659	3	3	
GCF_018570775.1	ASM1857077v1	ssRNA phage Gephyllon.3_11	3659	3	3	
GCF_018566205.1	ASM1856620v1	ssRNA phage SRR5467090_2	3658	4	4	
GCF_018569335.1	ASM1856933v1	ssRNA phage SRR7976300_5	3657	3	3	
GCF_018548385.1	ASM1854838v1	ssRNA phage ESE029	3655	4	4	
GCF_018573435.1	ASM1857343v1	ssRNA phage SRR5467139_1	3655	3	3	
GCF_018574205.1	ASM1857420v1	ssRNA phage SRR6960509_9	3654	3	3	
GCF_018573405.1	ASM1857340v1	ssRNA phage SRR5467091_13	3652	3	3	
GCF_018563055.1	ASM1856305v1	ssRNA phage SRR6960799_32	3651	3	3	
GCF_018563395.1	ASM1856339v1	ssRNA phage SRR7473382_2	3651	3	3	
GCF_018573005.1	ASM1857300v1	ssRNA phage SRR5466364_3	3650	4	4	
GCF_018574975.1	ASM1857497v1	ssRNA phage SRR7976310_17	3650	3	3	
GCF_018572635.1	ASM1857263v1	ssRNA phage SRR6960507_8	3647	3	3	
GCF_018572775.1	ASM1857277v1	ssRNA phage SRR6960799_8	3647	3	3	
GCF_018577355.1	ASM1857735v1	ssRNA phage SRR7976325_20	3646	3	3	
GCF_018554445.1	ASM1855444v1	ssRNA phage Esthiorhiza.1_14	3643	3	3	
GCF_018571105.1	ASM1857110v1	ssRNA phage Zoerhiza.1_21	3642	3	3	
GCF_018577635.1	ASM1857763v1	ssRNA phage SRR5995670_1	3642	3	3	
GCF_018554645.1	ASM1855464v1	ssRNA phage Gerhypos.3_3	3641	4	4	
GCF_018569815.1	ASM1856981v1	ssRNA phage SRR7976357_9	3641	3	3	
GCF_018572575.1	ASM1857257v1	ssRNA phage Esthiorhiza.2_33	3641	3	3	
GCF_018569125.1	ASM1856912v1	ssRNA phage SRR6960797_3	3637	3	3	
GCF_018572095.1	ASM1857209v1	ssRNA phage Esthiorhiza.4_9	3637	3	3	
GCF_018569925.1	ASM1856992v1	ssRNA phage Gerhypos.1_28	3636	3	3	
GCF_018548115.1	ASM1854811v1	ssRNA phage AIN001	3635	3	3	
GCF_018550825.1	ASM1855082v1	ssRNA phage Gephyllon.1_12	3634	4	4	
GCF_018566375.1	ASM1856637v1	ssRNA phage SRR5467091_9	3634	3	3	
GCF_018573265.1	ASM1857326v1	ssRNA phage SRR5466728_2	3634	3	3	
GCF_023119725.1	ASM2311972v1	Aspergillus foetidus slow virus 2	3634	1	1	
GCF_018569285.1	ASM1856928v1	ssRNA phage SRR7976299_11	3631	4	4	
GCF_018569885.1	ASM1856988v1	ssRNA phage Gerhypos.4_41	3631	3	3	
GCF_018568925.1	ASM1856892v1	ssRNA phage SRR6960551_14	3629	3	3	
GCF_018573025.1	ASM1857302v1	ssRNA phage SRR5466365_2	3627	4	4	
GCF_018574985.1	ASM1857498v1	ssRNA phage SRR7976310_9	3626	3	3	
GCF_018557745.1	ASM1855774v1	ssRNA phage Gerhypos.2_33	3625	3	3	
